id_cyc_unico,start_time,end_time,lat,lon,time,source,x_pix,y_pix,idorig
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.075,5.25,2011-11-07 23:00:00,CL7,394,118,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.1,5.28,2011-11-08 00:00:00,CL7,394,117,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.123,5.332,2011-11-08 01:00:00,CL7,396,117,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.151,5.405,2011-11-08 02:00:00,CL7,398,116,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.181,5.501,2011-11-08 03:00:00,CL7,400,115,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.211,5.622,2011-11-08 04:00:00,CL7,404,115,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.245,5.76,2011-11-08 05:00:00,CL7,407,114,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.291,5.899,2011-11-08 06:00:00,CL7,411,113,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.353,6.03,2011-11-08 07:00:00,CL7,415,111,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.43,6.15,2011-11-08 08:00:00,CL7,418,109,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.514,6.253,2011-11-08 09:00:00,CL7,421,107,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.594,6.333,2011-11-08 10:00:00,CL7,423,105,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.668,6.388,2011-11-08 11:00:00,CL7,425,104,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.74,6.421,2011-11-08 12:00:00,CL7,426,102,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.803,6.443,2011-11-08 13:00:00,CL7,426,101,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.859,6.463,2011-11-08 14:00:00,CL7,427,99,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.917,6.482,2011-11-08 15:00:00,CL7,428,98,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,41.973,6.497,2011-11-08 16:00:00,CL7,428,97,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.017,6.505,2011-11-08 17:00:00,CL7,428,96,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.049,6.504,2011-11-08 18:00:00,CL7,428,95,1328
7001328,2011-11-05 05:00:00,2011-11-09 14:00:00,42.077,6.492,2011-11-08 19:00:00,CL7,428,94,1328
